,text,title,url
0,"These conventions are aimed to increase the readability and the comprehension of the Java Programming Wikibook. It completes the Wikibooks Manual of Style . However exceptions can be made if needed. If you find it too complex to follow, add the content rawly. It will be formatted by someone.",How to format the content ,https://en.wikibooks.org//wiki/Java_Programming/Conventions
1,Most of the time a page from the Java Programming Wikibook has a structure that looks like this:,How to format the content Page formatting,https://en.wikibooks.org//wiki/Java_Programming/Conventions
2,"Sometimes we wish to convey an entire java file, this can be done as follows:""1.1"" means that it is the first code of the first chapter. Using <source/> is better than using a template as || is a part of the Java syntax.",How to format the content Java file,https://en.wikibooks.org//wiki/Java_Programming/Conventions
3,"When just a small section of code is shown, the code template may be used as follows:",How to format the content Snippets,https://en.wikibooks.org//wiki/Java_Programming/Conventions
4,"To represent what is shown on the screen, use the following syntax:",How to format the content Screen print,https://en.wikibooks.org//wiki/Java_Programming/Conventions
5,Notes grant readers additional information about a certain topic. You can enter additional or side notes by using the following template:Use notes only when it is necessary. A note is less readable than paragraphs.,How to format the content Notes,https://en.wikibooks.org//wiki/Java_Programming/Conventions
6,"To warn the user of things like common pitfalls, the XWarning template should be used as demonstrated:",How to format the content Warning,https://en.wikibooks.org//wiki/Java_Programming/Conventions
7,"If there are sections of the book that require attention at a later time, you can add a to-do note by including the following template:",How to format the content To-do items,https://en.wikibooks.org//wiki/Java_Programming/Conventions
8,"If a section is optional, it can be hidden like this:",How to format the content Hidden section,https://en.wikibooks.org//wiki/Java_Programming/Conventions
9,"This book uses various illustrations and diagrams to convey its message, e.g., flow-chart or UML diagrams, etc. Due to the nature of diagrams, they need to be designed in a scalable vector format. It is highly recommended that you use the SVG format for your diagrams. Please, do not use JPG or PNG for diagrams that could otherwise be done in SVG. Ask a regular contributor for his/her help in this matter.A regular feature for diagrams used in this book is the overall color scheme. The most notable color used for illustrations in this book is   #2a7fff ( as is shown for the diagrams below, for instance ). In order to include illustrations into your content, you need to use the {{ Java/Illustration }} template. Given below is an example of how this template ought to be used.",How to format the content Illustrations and diagrams,https://en.wikibooks.org//wiki/Java_Programming/Conventions
10,"Use italic when you use a term for the first time.  Use the <code/> markup when you refer to a class, a field or a method.",How to format the content Text formatting,https://en.wikibooks.org//wiki/Java_Programming/Conventions
11,"This book uses United States English, purely for the sake of consistency. Most programming languages have words represented in the United States English, e.g., color , etc. You should use the US English wherever possible.",How to format the content Preferred English,https://en.wikibooks.org//wiki/Java_Programming/Conventions
12,"The Java Programming Wikibook is a shared effort in amassing a comprehensive guide of the complete Java platform  from programming advice and tutorials for the desktop computer to programming on mobile phones. The information presented in this book has been conceptualised with the combined efforts of various contributors , and anonymous editors.The primary purpose of this book is to teach the Java programming language to an audience of beginners, but its progressive layout of tutorials increasing in complexity, it can be just as helpful for intermediate and experienced programmers. Thus, this book is meant to be used as:a collection of tutorials building upon one another in a progressive manner;  a guidebook for efficient programming with the Java programming language; and,  a comprehensive manual resource for the advanced programmer.This book is intended to be used in conjunction with various other online resources, such as:the Java platform API documentation ;  the official Java website ; and,  active Java communities online, such as Java.net and JavaRanch , etc.",About this book ,https://en.wikibooks.org//wiki/Java_Programming/About_This_Book
